ipid;linie;km_go;tunnelname;tunnelsystem;inbetrieb_nahmejahr;koordinate_e;koordinate_n;geopos;kanton
1315895.0;219;11.708;Tunnel de Rochefort (015);1-Röhre / 1-Spur;1860;2551195.509;1201643.462;46.964065322, 6.79736830288;Neuchâtel
394681.0;219;33.753;Tunnel de St-Sulpice (023);1-Röhre / 1-Spur;1860;2532369.307;1196228.957;46.9137097317, 6.55082716884;Neuchâtel
770234.0;223;9.353;Tunnel de la Luche (008);1-Röhre / 1-Spur;1859;2553022.477;1202728.131;46.9739538652, 6.8212602366;Neuchâtel
394684.0;224;39.507;Tunnel du col des Roches (073);1-Röhre / 1-Spur;1884;2545226.625;1211230.627;47.049832331, 6.71778500351;Neuchâtel
513135.0;224;26.239;Tunnel du Mont Sagne(007);1-Röhre / 1-Spur;1859;2556091.729;1215161.848;47.0860031823, 6.86038728763;Neuchâtel
1075194.0;225;39.627;Tunnel de Taubenloch 4 ( 042 );1-Röhre / 1-Spur;1874;2585821.646;1224533.824;47.17161026, 7.25161154061;Bern
513381.0;225;47.287;Tunnel de Tournedos (044);1-Röhre / 1-Spur;1874;2580328.905;1226732.47;47.1912451099, 7.17906465356;Bern
513413.0;225;75.255;Tunnel des Crosettes (075);1-Röhre / 1-Spur;1888;2555801.049;1216625.737;47.0991510037, 6.85641597445;Neuchâtel
513215.0;226;73.806;Tunnel de Moutier 1 (048);1-Röhre / 1-Spur;1876;2595672.146;1236995.919;47.2838411747, 7.38142067953;Bern
513216.0;226;73.94;Tunnel de Moutier 2 (049);1-Röhre / 1-Spur;1876;2595808.195;1237152.939;47.2852543837, 7.3832174892;Bern
513242.0;226;74.576;Tunnel de Moutier 5 (052);1-Röhre / 1-Spur;1876;2595753.662;1237796.131;47.2910392085, 7.38249045861;Bern
513147.0;226;54.085;Tunnel de Pierre-Pertuis (045);1-Röhre / 1-Spur;1874;2581530.759;1229018.724;47.2118439862, 7.19482903974;Bern
1075122.0;240;115.403;Tunnel de Courchavon (037);1-Röhre / 1-Spur;1877;2571669.682;1253840.088;47.4347439295, 7.06308851721;Jura
3440681.0;250;8.858;Tunnel de Grandvaux (030);1-Röhre / 2-Spuren;1862;2545556.417;1149937.41;46.4985270498, 6.72943116343;Vaud
595585.0;250;32.56;Tunnel de Vauderens (101);1-Röhre / 2-Spuren;2001;2556122.771;1165191.302;46.6365184008, 6.86561360611;Fribourg
2790893.0;400;17.147;Birchiwaldtunnel;1-Röhre / 2-Spuren;2003;2608971.687;1212502.795;47.0634865809, 7.55673089396;Bern
2363699.0;400;11.731;Grauholztunnel;1-Röhre / 2-Spuren;1993;2606232.918;1208099.974;47.0239143107, 7.52061872774;Bern
2790403.0;400;30.55;Hersiwiltunnel;1-Röhre / 2-Spuren;2004;2614578.537;1223914.142;47.1660308372, 7.63090402653;Solothurn
2529287.0;400;51.29;Murgenthaltunnel;1-Röhre / 2-Spuren;2004;2630977.019;1235568.374;47.2702918198, 7.84798038116;Aargau
1664159.0;460;69.551;Unterer Schächlitunnel;1-Röhre / 1-Spur;1875;2647875.029;1207892.978;47.0203568488, 8.0683426187;Luzern
1664111.0;460;73.699;Wolhusentunnel;1-Röhre / 1-Spur;1875;2648089.683;1211897.954;47.0563650155, 8.07159051895;Luzern
323085.0;500;42.553;Aarburgertunnel;1-Röhre / 2-Spuren;1856;2635256.833;1241535.864;47.3237508431, 7.90500394252;Aargau
624460.0;500;28.705;Hauenstein Basistunnel HBT;1-Röhre / 2-Spuren;1916;2634108.847;1254602.265;47.4413314909, 7.89081345226;Basel-Landschaft
11042750.0;595;163.608;Galleria artificiale Giustizia;1-Röhre / 2-Spuren;2016;2718650.992;1131752.416;46.3266869174, 8.97943892121;Ticino
70081.0;600;98.829;Galleria Dazio;1-Röhre / 2-Spuren;1882;2700778.575;1149726.609;46.4912732431, 8.75130015273;Ticino
1783579.0;600;189.829;Galleria Maroggia;1-Röhre / 2-Spuren;1874;2718556.481;1088926.423;45.9415336601, 8.9673755703;Ticino
795109.0;600;170.793;Galleria Molincero;1-Röhre / 1-Spur;1882;2714965.467;1104068.45;46.0783388918, 8.92478092133;Ticino
124495.0;600;101.41;Galleria Monte Piottino;1-Röhre / 2-Spuren;1882;2701347.922;1149591.553;46.4899725776, 8.75868502017;Ticino
1268640.0;600;105.012;Galleria Polmengo;1-Röhre / 2-Spuren;1882;2702976.577;1149392.58;46.4879344909, 8.77984967683;Ticino
1752672.0;600;184.336;Galleria San Martino;1-Röhre / 2-Spuren;1874;2717590.777;1093207.133;45.9802018523, 8.95599396659;Ticino
1441582.0;600;54.061;Märchlisbachgalerie Mitte;1-Röhre / 2-Spuren;1882;2690669.167;1176346.457;46.7321512126, 8.62488565266;Uri
1459598.0;600;51.951;Meitschlingertunnel;1-Röhre / 2-Spuren;1882;2691918.824;1177887.119;46.7458374243, 8.64154170274;Uri
1478779.0;600;59.226;Mühletunnel;1-Röhre / 2-Spuren;1882;2689056.099;1173843.761;46.7098581769, 8.6032986082;Uri
1459531.0;600;57.487;Muhrentunnel;1-Röhre / 2-Spuren;1882;2689935.439;1175263.871;46.7225133201, 8.6150751941;Uri
1496130.0;600;67.699;Naxbergtunnel;1-Röhre / 1-Spur;1882;2687903.507;1171597.183;46.6898041692, 8.58779711263;Uri
124487.0;600;30.679;Neue Gruonbachgalerie re. G200;1-Röhre / 2-Spuren;1943;2690239.793;1196716.77;46.9154267414, 8.62329218175;Uri
1016390.0;651;3.933;Hüslentunnel;1-Röhre / 1-Spur;1998;2665387.418;1216580.435;47.0970010861, 8.29992500943;Luzern
1380353.0;665;8.523;Bühltunnel ZG;1-Röhre / 1-Spur;1897;2681339.749;1217694.52;47.1052544975, 8.51022888742;Zug
1752782.0;665;0.98;Zuger Stadttunnel;1-Röhre / 1-Spur;1896;2681927.189;1224359.229;47.1651243587, 8.51917598775;Zug
836148.0;700;40.712;Bözbergtunnel;1-Röhre / 1-Spur;1875;2651098.524;1257404.077;47.4654312179, 8.11636128994;Aargau
1472454.0;730;13.927;Erlenbachtunnel;1-Röhre / 1-Spur;1894;2687465.114;1239705.774;47.3024365741, 8.59518917393;Zürich
1417190.0;750;7.247;Opfikontunnel II;1-Röhre / 2-Spuren;1980;2684798.131;1253897.565;47.4304165392, 8.56261600239;Zürich
1179910.0;754;38.585;Kühweidtunnel;1-Röhre / 1-Spur;1876;2711883.536;1237655.886;47.2803130886, 8.91749809382;Zürich
1502850.0;754;28.428;Lipperschwenditunnel;1-Röhre / 1-Spur;1876;2711800.494;1246634.557;47.3610705259, 8.91863923548;Zürich
1575884.0;769;13.824;Dettenbergtunnel;1-Röhre / 1-Spur;1876;2684995.726;1263819.197;47.519616651, 8.56712592636;Zürich
1472205.0;890;32.858;Biberlikopftunnel;1-Röhre / 2-Spuren;1966;2723538.671;1221334.954;47.131464455, 9.06703565998;Glarus
12012755.0;100;108.896;Tunnel de Sierre (Gobet);1 Röhre / 2 Spuren;2015;2607918.088;1127106.809;46.2953267927, 7.54140172322;Valais
1277997.0;100;5.195;Tunnel de Bertholod ( 027 );1-Röhre / 2-Spuren;1861;2542712.276;1150539.474;46.5037049508, 6.69230940152;Vaud
770344.0;100;115.109;Tunnel de Varen (102);1-Röhre / 2-Spuren;2004;2613431.934;1129497.354;46.3167441141, 7.61302674361;Valais
15125102.0;152;68.674;Tunnel de Champel;1-Röhre / 2-Spuren;2019;1116160.413;2500852.796;56.5077936422, -16.6616215193;
3363364.0;203;455.32;Tunnel du Mont d'Or (083);1-Röhre / 1-Spur;1915;2514099.205;1177675.435;46.7447175036, 6.31451492;Bourgogne-Franche-Comté
13645230.0;210;50.487;Tunnel de Concise;1-Röhre / 2-Spuren;2000;2545201.38;1188978.818;46.8496799318, 6.72013989557;Vaud
4696796.0;210;22.068;Tunnel du Mormont nord 2;1-Röhre / 1-Spur;1856;2531968.869;1168380.954;46.6631814811, 6.54971987448;Vaud
4696795.0;210;21.709;Tunnel du Mormont sud 1;1-Röhre / 1-Spur;1856;2532040.602;1168018.754;46.6599308347, 6.55071073381;Vaud
4569550.0;210;21.738;Tunnel du Mormont sud 3;1-Röhre / 1-Spur;2010;2532150.795;1168080.064;46.660493543, 6.55214127631;Vaud
1315896.0;219;11.503;Tunnel de la Loge (014);1-Röhre / 1-Spur;1860;2551389.471;1201595.703;46.9636499996, 6.7999218619;Neuchâtel
1401775.0;219;13.269;Tunnel de la Verrière (017);1-Röhre / 1-Spur;1860;2549754.814;1201410.242;46.9618598329, 6.77846509594;Neuchâtel
1401799.0;219;15.085;Tunnel des Moyats (019);1-Röhre / 1-Spur;1860;2548248.873;1200602.111;46.9544749074, 6.75877184733;Neuchâtel
770191.0;223;2.654;Tunnel du Gibet(010);1-Röhre / 1-Spur;1859;2559308.927;1204255.26;46.9881064184, 6.90373591226;Neuchâtel
513146.0;224;22.703;Tunnel des Loges (013);1-Röhre / 1-Spur;1860;2557909.885;1212263.142;47.0600484144, 6.88460058752;Neuchâtel
1277966.0;225;38.338;Tunnel de Taubenloch 2 ( 040 );1-Röhre / 1-Spur;1874;2586539.613;1223603.395;47.1632563832, 7.26110965516;Bern
595526.0;225;77.08;Tunnel de Combe (Creux, 076);1-Röhre / 1-Spur;1888;2554157.006;1216673.281;47.0994666092, 6.83475571631;Neuchâtel
1277959.0;225;39.316;Tunnel de Taubenloch 3 ( 041 );1-Röhre / 1-Spur;1874;2586093.313;1224404.474;47.1704525939, 7.25519891298;Bern
513356.0;226;77.896;T. Verrerie de Moutier (058);1-Röhre / 1-Spur;1876;2596070.59;1240549.36;47.3158049757, 7.38665561917;Jura
513349.0;226;77.585;T. Verrerie de Roches (057);1-Röhre / 1-Spur;1876;2596286.489;1240372.307;47.3142137631, 7.3895125888;Bern
513161.0;226;67.838;Tunnel de Court 1 (066);1-Röhre / 1-Spur;1877;2593184.263;1232728.512;47.2454365279, 7.34860120125;Bern
513339.0;226;75.133;Tunnel de Moutier 9 (056);1-Röhre / 1-Spur;1876;2595537.069;1238283.923;47.2954251848, 7.37962220386;Bern
617264.0;230;96.568;Bärschwiltunnel;1-Röhre / 1-Spur;1875;2601982.199;1250134.822;47.4020288938, 7.46488331502;Solothurn
1075154.0;230;86.665;Tunnel de Vorbourg (046);1-Röhre / 2-Spuren;1875;2594221.127;1247285.582;47.3763789652, 7.362106632;Jura
1075127.0;240;103.722;Tunnel de la Croix (062);1-Röhre / 1-Spur;1877;2577746.004;1247060.752;47.3740042, 7.14397174869;Jura
1075134.0;240;102.299;Tunnel du Château (061);1-Röhre / 1-Spur;1877;2578787.561;1246441.439;47.3684684677, 7.15779179099;Jura
1926493.0;241;1.885;Tunnel de Fontelats (091);1-Röhre / 2-Spuren;1962;2570180.409;1257709.418;47.4694783774, 7.04308825318;Jura
595858.0;250;83.507;Flamattertunnel (011);1-Röhre / 1-Spur;1860;2590352.812;1193020.859;46.8882327677, 7.31205503391;Fribourg
2325623.0;250;11.238;Tunnel de la Cornallaz(031);1-Röhre / 2-Spuren;1862;2547640.252;1149058.071;46.4907837062, 6.7566746091;Vaud
2821649.0;400;34.549;Oenzbergtunnel;1-Röhre / 2-Spuren;2004;2617459.64;1226691.421;47.1909421241, 7.66900970516;Solothurn
2766814.0;400;40.749;Thunstettentunnel I Nord;1-Röhre / 2-Spuren;2004;2623301.522;1228742.354;47.2092099079, 7.74619902397;Bern
2013544.0;510;138.88;Kannenfeldtunnel;1-Röhre / 1-Spur;1901;2609842.568;1267864.969;47.5614229592, 7.5694015375;Basel-Stadt
124595.0;570;8.698;Lerchenbühltunnel;1-Röhre / 1-Spur;1897;2670187.36;1210178.936;47.0389326295, 8.36215294002;Luzern
2575393.0;594;256.455;Gotthard-Basistunnel;2-Röhren / 2 x 1-Spur;2016;2714103.291;1137024.248;46.3748900005, 8.92169097051;Ticino
10977112.0;595;159.916;Galleria Svincolo A2 Biasca;Andere;2016;2716944.727;1135033.083;46.3564923692, 8.95811204183;Ticino
124625.0;600;29.255;Axenbergtunnel Gl. 200;1-Röhre / 1-Spur;1882;2689617.297;1197915.687;46.9262942932, 8.61535735303;Uri
1459558.0;600;51.383;Breitentunnel;1-Röhre / 2-Spuren;1882;2691985.109;1178433.939;46.7507465882, 8.64251879634;Uri
124673.0;600;160.451;Galleria Precassino Gl. 200;1-Röhre / 1-Spur;1874;2717072.064;1111469.23;46.1445383586, 8.95385340798;Ticino
1479092.0;600;64.96;Leggisteintunnel;1-Röhre / 2-Spuren;1882;2688665.762;1174142.0;46.7125926855, 8.59825221904;Uri
1479106.0;600;65.503;Maienkreuztunnel;1-Röhre / 2-Spuren;1882;2688451.803;1173685.433;46.7085145014, 8.59536634285;Uri
1479128.0;600;66.117;Obere Entschigtalgalerie;1-Röhre / 2-Spuren;1882;2688389.098;1173088.242;46.7031513756, 8.59443141078;Uri
1479011.0;600;62.982;Untere Entschigtalgalerie;1-Röhre / 2-Spuren;1882;2688658.921;1173129.942;46.703490642, 8.59796721809;Uri
796807.0;600;50.943;Zgraggentaltunnel;1-Röhre / 2-Spuren;1882;2692069.223;1178867.088;46.7546308788, 8.64370654692;Uri
1793841.0;638;203.686;Galleria Balerna;1-Röhre / 1-Spur;1964;2721838.313;1078455.109;45.8467761896, 9.00698280041;Ticino
1940737.0;650;19.554;Heitersbergtunnel;1-Röhre / 2-Spuren;1972;2665796.313;1254079.329;47.434224714, 8.31079905217;Aargau
124711.0;660;63.454;Friedentaltunnel;1-Röhre / 1-Spur;1864;2664579.259;1212587.205;47.0611635725, 8.28871098981;Luzern
1380375.0;665;10.049;Rossplattentunnel;1-Röhre / 1-Spur;1897;2682166.56;1216470.159;47.0941404628, 8.52089777521;Zug
2043196.0;722;2.471;Zimmerberg Basistunnel;Y / 2-Spur + 2x 1-Spur;2003;2681522.327;1247623.524;47.3744058983, 8.51805724229;Zürich
1338533.0;745;100.772;Hirschengrabentunnel;Y / 2-Spur + 2x 1-Spur;1894;2683717.331;1247571.718;47.3736647726, 8.54710764836;Zürich
10241273.0;748;200.733;Tunnel Bahnhof Löwenstrasse;Andere;2012;2682966.305;1248010.528;47.377706142, 8.53724612488;Zürich
1417189.0;752;7.259;Opfikontunnel I Station;1-Röhre / 2-Spuren;1978;2684693.685;1253925.408;47.4306803833, 8.56123704838;Zürich
1472332.0;770;38.159;Fischerhölzlitunnel;1-Röhre / 1-Spur;1897;2687764.798;1281405.853;47.6774019753, 8.60736377455;Schaffhausen
903686.0;890;20.843;Bühltunnel SG;1-Röhre / 1-Spur;1859;2735182.914;1219513.948;47.1128127155, 9.2199270333;St.AuslandGallen
999911.0;100;110.95;Tunnel de la Raspille (072);1-Röhre / 2-Spuren;1877;2609522.421;1128355.719;46.3065408358, 7.56224746838;Valais
162659.0;100;22.013;Tunnel des Crêtes  (025);1-Röhre / 2-Spuren;1880;2557315.179;1144050.441;46.446426265, 6.88314505629;Vaud
659049.0;152;61.859;Tunnel de St. Jean (087);1-Röhre / 2-Spuren;1941;2498562.752;1117958.733;46.2054204721, 6.12434431585;Genève
15125239.0;152;72.478;TC Chêne-Bougeries-Thônex;1-Röhre / 2-Spuren;2019;1117058.181;2503567.336;56.5329436058, -16.6611734543;
15125105.0;152;70.457;Halte Genève-Eaux-Vives;1-Röhre / 2-Spuren;2019;1117407.266;2501866.396;56.5196271375, -16.6476362844;
