ipid;linie;km_go;tunnelname;tunnelsystem;inbetrieb_nahmejahr;koordinate_e;koordinate_n;geopos;kanton
323313.0;604;24.36;Fronalptunnel Gl. 100;1-Röhre / 1-Spur;1946;2689637.263;1202377.62;46.9664229738, 8.61649885027;Schwyz
124706.0;605;28.238;Stutzeck-Axenbergtunnel;1-Röhre / 1-Spur;1941;2690261.916;1198646.459;46.9327797244, 8.62396521054;Uri
124675.0;606;160.509;Galleria Precassino-Meggiagra;1-Röhre / 1-Spur;1934;2717121.194;1111301.892;46.1430248, 8.95444727353;Ticino
793338.0;607;163.794;Gall. Monte Ceneri II destra;1-Röhre / 1-Spur;1941;2714530.965;1110548.697;46.1366958075, 8.92074798842;Ticino
761004.0;660;22.003;Albistunnel;1-Röhre / 1-Spur;1897;2684799.205;1231040.175;47.2248494449, 8.55830749461;Zürich
1856669.0;702;42.191;Koblenztunnel;1-Röhre / 1-Spur;1854;2660021.674;1273071.48;47.6055798091, 8.23681768917;Aargau
955966.0;710;21.839;Kreuzlibergtunnel;1-Röhre / 1-Spur;1961;2665350.916;1258034.651;47.4698412206, 8.30547452366;Aargau
3063466.0;714;1.466;Kohlendreiecktunnel;1-Röhre / 1-Spur;2004;2681778.641;1248450.074;47.3818076243, 8.52160167875;Zürich
1449395.0;720;3.307;Ulmbergtunnel;1-Röhre / 2-Spuren;1927;2682210.232;1247046.441;47.3691304969, 8.52705860867;Zürich
10859399.0;722;1.523;Seebahntunnel;1-Röhre / 2-Spuren;2001;2681983.8;1248319.865;47.3806111089, 8.52429435357;Zürich
1472455.0;730;13.933;Hitzbergtunnel;1-Röhre / 1-Spur;1967;2687410.851;1239681.997;47.3022299275, 8.59446712014;Zürich
137577.0;740;77.023;Aathaltunnel;1-Röhre / 2-Spuren;1990;2700556.611;1243386.027;47.3336680887, 8.76909386469;Zürich
1318562.0;740;64.743;Täusitunnel;1-Röhre / 1-Spur;1859;2707736.667;1234375.513;47.2515025159, 8.86191076658;Zürich
1449166.0;745;108.601;Föhrlibucktunnel;1-Röhre / 2-Spuren;1990;2688494.291;1251414.557;47.4075999914, 8.61110938607;Zürich
3320596.0;745;99.86;Tunnel Bahnhof Museumstrasse;Andere;1990;2683117.856;1248198.098;47.3793739262, 8.53928750133;Zürich
10955783.0;748;206.237;Oerlikontunnel;1-Röhre / 1-Spur;2014;2682992.853;1251546.973;47.4095071803, 8.5382537936;Zürich
10804046.0;748;201.974;Zürich Weinbergtunnel;Andere;2014;2684118.674;1247982.172;47.3773050156, 8.5524981682;Zürich
1377310.0;750;8.997;Flughafentunnel;1-Röhre / 2-Spuren;1980;2684562.855;1255580.209;47.4455790897, 8.55981651602;Zürich
1180050.0;751;3.128;Wipkingertunnel;1-Röhre / 2-Spuren;1856;2682685.269;1250459.117;47.3997624636, 8.53397775091;Zürich
1472189.0;760;2.76;Käferbergtunnel;1-Röhre / 2-Spuren;1969;2682022.451;1250535.981;47.4005366038, 8.52521245594;Zürich
3481220.0;820;47.987;Emmersbergtunnel;1-Röhre / 1-Spur;1895;2690212.503;1284022.03;47.7005947181, 8.64048788176;Schaffhausen
1472200.0;853;30.046;Rickentunnel;1-Röhre / 1-Spur;1910;2720777.679;1231132.769;47.2200847849, 9.03327688168;St.AuslandGallen
1318724.0;880;79.3;Rosenbergtunnel;1-Röhre / 2-Spuren;1912;2746349.522;1255276.198;47.4320040339, 9.37866291053;St.AuslandGallen
